Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Primary immunodeficiency,6/38,7.422908913394585e-06,1.0691204628993696e-05,0,0,15.027439024390244,177.48817376961657,ZAP70;LCK;CD19;BLNK;BTK;ICOS
KEGG_2021_Human,Wnt signaling pathway,11/166,8.635252372780937e-06,1.2345212651457191e-05,0,0,5.769589077767368,67.27143325524275,PRKCG;PLCB3;PLCB4;PRKCB;RAC2;RAC3;PRKCA;RAC1;PLCB1;PLCB2;RHOA
GO_Biological_Process_2021,Wnt signaling pathway,11/166,8.635252372780937e-06,1.2345212651457191e-05,0,0,5.769589077767368,67.27143325524275,PRKCG;PLCB3;PLCB4;PRKCB;RAC2;RAC3;PRKCA;RAC1;PLCB1;PLCB2;RHOA
GO_Biological_Process_2021,Toxoplasmosis,9/112,1.2332848483347652e-05,1.7501762921221302e-05,0,0,7.064005753326142,79.84618239150694,ITGB1;PDPK1;GNAI3;LAMC2;PIK3R6;PIK3CG;GNAI1;PIK3R5;GNAI2
KEGG_2021_Human,Toxoplasmosis,9/112,1.2332848483347652e-05,1.7501762921221302e-05,0,0,7.064005753326142,79.84618239150694,ITGB1;PDPK1;GNAI3;LAMC2;PIK3R6;PIK3CG;GNAI1;PIK3R5;GNAI2
KEGG_2021_Human,AMPK signaling pathway,9/120,2.1509177235568097e-05,3.0301249682223668e-05,0,0,6.552218885552219,70.41689860210415,PIK3CA;PDPK1;IRS4;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB
GO_Biological_Process_2021,AMPK signaling pathway,9/120,2.1509177235568097e-05,3.0301249682223668e-05,0,0,6.552218885552219,70.41689860210415,PIK3CA;PDPK1;IRS4;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB
GO_Biological_Process_2021,Human T-cell leukemia virus 1 infection,12/219,2.307056822053584e-05,3.2265359902633456e-05,0,0,4.720048309178744,50.39573327421394,NRAS;DLG1;PIK3CA;LCK;PTEN;PIK3R3;PIK3CD;PIK3R2;KRAS;PIK3R1;PIK3CB;HRAS
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,12/219,2.307056822053584e-05,3.2265359902633456e-05,0,0,4.720048309178744,50.39573327421394,NRAS;DLG1;PIK3CA;LCK;PTEN;PIK3R3;PIK3CD;PIK3R2;KRAS;PIK3R1;PIK3CB;HRAS
KEGG_2021_Human,Mitophagy,7/68,2.3367314334821964e-05,3.2445263788637694e-05,0,0,9.221077283372365,98.33515726761048,NRAS;MRAS;RRAS;SRC;RRAS2;KRAS;HRAS
GO_Biological_Process_2021,Mitophagy,7/68,2.3367314334821964e-05,3.2445263788637694e-05,0,0,9.221077283372365,98.33515726761048,NRAS;MRAS;RRAS;SRC;RRAS2;KRAS;HRAS
GO_Biological_Process_2021,Phototransduction,5/28,2.366516998547101e-05,3.262412719425646e-05,0,0,17.360499911987326,184.9154726497317,CALML5;CALML6;CALML3;CALM3;CALML4
KEGG_2021_Human,Phototransduction,5/28,2.366516998547101e-05,3.262412719425646e-05,0,0,17.360499911987326,184.9154726497317,CALML5;CALML6;CALML3;CALM3;CALML4
KEGG_2021_Human,Oocyte meiosis,9/129,3.821433340731073e-05,5.230756274901398e-05,0,0,6.058024691358025,61.62404391752703,CALML5;PLCZ1;CALML6;ITPR1;ITPR2;CALML3;ITPR3;CALM3;CALML4
GO_Biological_Process_2021,Oocyte meiosis,9/129,3.821433340731073e-05,5.230756274901398e-05,0,0,6.058024691358025,61.62404391752703,CALML5;PLCZ1;CALML6;ITPR1;ITPR2;CALML3;ITPR3;CALM3;CALML4
GO_Biological_Process_2021,Coronavirus disease,12/232,4.061637436229878e-05,5.520394543608215e-05,0,0,4.438181818181818,44.87596207561408,PRKCG;SYK;PIK3CA;PRKCB;PLCG2;PIK3R3;PIK3CD;PRKCA;PIK3R2;PIK3R1;PLCG1;PIK3CB
KEGG_2021_Human,Coronavirus disease,12/232,4.061637436229878e-05,5.520394543608215e-05,0,0,4.438181818181818,44.87596207561408,PRKCG;SYK;PIK3CA;PRKCB;PLCG2;PIK3R3;PIK3CD;PRKCA;PIK3R2;PIK3R1;PLCG1;PIK3CB
KEGG_2021_Human,Hippo signaling pathway,10/163,4.302554472588165e-05,5.806944148318293e-05,0,0,5.292227083670934,53.20655104531856,RASSF1;PRKCI;DLG1;PARD6B;PARD6A;PARD3;PARD6G;PRKCZ;LLGL1;LLGL2
GO_Biological_Process_2021,Hippo signaling pathway,10/163,4.302554472588165e-05,5.806944148318293e-05,0,0,5.292227083670934,53.20655104531856,RASSF1;PRKCI;DLG1;PARD6B;PARD6A;PARD3;PARD6G;PRKCZ;LLGL1;LLGL2
GO_Biological_Process_2021,Measles,9/139,6.852802260325774e-05,9.18465858501996e-05,0,0,5.589173789173789,53.59049511186933,PIK3CA;CD28;PIK3R3;MSN;PIK3CD;CBLB;PIK3R2;PIK3R1;PIK3CB
